x1,y1,x2,y2,x3,y3,d12,d23,d13,v1,v2,v3
-0.819508,-0.997542,0.822375,-0.127792,0.691085,-0.092592,0.862550,0.674112,0.727998,0.271116,0.205688,0.413884
-0.817715,-0.997504,0.820593,-0.126228,0.688772,-0.091741,0.861321,0.672087,0.725801,0.272540,0.206619,0.412345
-0.815913,-0.997466,0.818803,-0.124667,0.686460,-0.090903,0.860086,0.670041,0.723598,0.273965,0.207555,0.410799
-0.814102,-0.997428,0.817003,-0.123110,0.684149,-0.090077,0.858845,0.667975,0.721388,0.275391,0.208496,0.409245
-0.812283,-0.997389,0.815195,-0.121556,0.681839,-0.089264,0.857599,0.665888,0.719172,0.276818,0.209441,0.407684
-0.810455,-0.997349,0.813378,-0.120005,0.679531,-0.088464,0.856346,0.663783,0.716951,0.278246,0.210390,0.406115
-0.808618,-0.997310,0.811552,-0.118458,0.677225,-0.087677,0.855087,0.661658,0.714724,0.279674,0.211344,0.404539
-0.806773,-0.997269,0.809717,-0.116914,0.674920,-0.086903,0.853823,0.659516,0.712490,0.281104,0.212303,0.402954
-0.804919,-0.997229,0.807873,-0.115374,0.672617,-0.086141,0.852552,0.657356,0.710252,0.282535,0.213266,0.401362
-0.803057,-0.997188,0.806020,-0.113838,0.670316,-0.085392,0.851276,0.655179,0.708007,0.283966,0.214234,0.399761
-0.801186,-0.997146,0.804159,-0.112305,0.668017,-0.084655,0.849993,0.652987,0.705758,0.285399,0.215207,0.398153
-0.799306,-0.997105,0.802289,-0.110776,0.665721,-0.083931,0.848705,0.650779,0.703503,0.286833,0.216184,0.396535
-0.797418,-0.997062,0.800409,-0.109250,0.663427,-0.083219,0.847411,0.648557,0.701243,0.288267,0.217165,0.394910
-0.795521,-0.997020,0.798521,-0.107728,0.661136,-0.082520,0.846111,0.646321,0.698978,0.289703,0.218151,0.393276
-0.793615,-0.996976,0.796625,-0.106210,0.658848,-0.081834,0.844805,0.644072,0.696708,0.291139,0.219142,0.391633
-0.791701,-0.996933,0.794719,-0.104695,0.656562,-0.081159,0.843493,0.641811,0.694433,0.292577,0.220137,0.389982
